"country","country_code","ageGroup","meanE","meanN","meanA","meanC","meanO","count"
"AE",784,"13-20",19.4,16.425,27.475,21.575,25.55,40
"AE",784,"21-30",19.8,14.2,29.6666666666667,24.5333333333333,28.9333333333333,15
"AE",784,"31-100",21.0909090909091,18.6363636363636,30.4772727272727,25.9090909090909,26.75,44
"AL",8,"13-20",16.6666666666667,17,26,17.5555555555556,24.5555555555556,9
"AL",8,"21-30",29,29.5,35,32,32.5,2
"AL",8,"31-100",25,21,32,27,36,1
"AR",32,"13-20",18.5263157894737,14.8947368421053,27.5789473684211,18.4736842105263,30.7894736842105,19
"AR",32,"21-30",20.6875,19,24.4375,19.3125,29.875,16
"AR",32,"31-100",20.3333333333333,19.5,32.6666666666667,22,35.8333333333333,6
"AT",40,"13-20",16,16,25.2222222222222,19.3333333333333,32.8888888888889,9
"AT",40,"21-30",17.5,21.625,27,18.125,32.375,8
"AT",40,"31-100",27.6666666666667,16.3333333333333,33.3333333333333,25.6666666666667,32.3333333333333,3
"AU",36,"13-20",20.7014613778706,18.223382045929,27.5114822546973,20.3757828810021,28.2901878914405,479
"AU",36,"21-30",20.8963963963964,18.8738738738739,28.4234234234234,22.7477477477477,29.2072072072072,222
"AU",36,"31-100",21.3247232472325,21.1660516605166,30.4686346863469,25.3431734317343,30.6125461254613,271
"BD",50,"13-20",16.6666666666667,17,24.8333333333333,21.6666666666667,25.8333333333333,6
"BD",50,"21-30",18.0285714285714,19.8,27.1142857142857,21.9428571428571,24.3428571428571,35
"BD",50,"31-100",17,10,32,21,21,1
"BE",56,"13-20",21.4347826086957,20.2173913043478,30.695652173913,20.6521739130435,29.6521739130435,23
"BE",56,"21-30",23.05,19.6,30.475,24.65,28.875,40
"BE",56,"31-100",25.6521739130435,26.4347826086957,31.0434782608696,25.304347826087,32.7391304347826,23
"BG",100,"13-20",16.9375,15,25.9375,18.8125,28.1875,16
"BG",100,"21-30",17.55,19.75,23.1,23.05,31.45,20
"BG",100,"31-100",18.8,22.4,28.4,21.4,28.8,5
"BR",76,"13-20",14.0779220779221,15.1688311688312,23.8701298701299,19.1298701298701,29.5974025974026,77
