"age","gender","country","E","N","A","C","O","c_name","region","sub_region","country_code"
16,1,"AE",17,5,32,23,14,"United Arab Emirates","Asia","Western Asia",784
36,2,"AE",29,23,29,16,27,"United Arab Emirates","Asia","Western Asia",784
35,1,"AE",26,23,26,24,29,"United Arab Emirates","Asia","Western Asia",784
27,1,"AE",14,20,36,27,17,"United Arab Emirates","Asia","Western Asia",784
37,1,"AE",22,21,25,22,26,"United Arab Emirates","Asia","Western Asia",784
20,2,"AE",14,12,31,18,25,"United Arab Emirates","Asia","Western Asia",784
30,2,"AE",14,14,19,20,22,"United Arab Emirates","Asia","Western Asia",784
34,1,"AE",33,28,32,35,28,"United Arab Emirates","Asia","Western Asia",784
35,1,"AE",28,0,32,25,38,"United Arab Emirates","Asia","Western Asia",784
27,1,"AE",4,19,33,28,29,"United Arab Emirates","Asia","Western Asia",784
32,2,"AE",20,25,27,21,23,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",12,24,29,17,26,"United Arab Emirates","Asia","Western Asia",784
14,1,"AE",1,24,7,25,30,"United Arab Emirates","Asia","Western Asia",784
34,1,"AE",20,10,31,25,32,"United Arab Emirates","Asia","Western Asia",784
33,2,"AE",17,14,34,22,25,"United Arab Emirates","Asia","Western Asia",784
20,2,"AE",14,9,21,32,30,"United Arab Emirates","Asia","Western Asia",784
41,2,"AE",24,17,34,37,30,"United Arab Emirates","Asia","Western Asia",784
18,2,"AE",11,9,35,25,36,"United Arab Emirates","Asia","Western Asia",784
40,1,"AE",17,18,34,24,23,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",27,20,28,33,18,"United Arab Emirates","Asia","Western Asia",784
31,1,"AE",29,17,31,33,33,"United Arab Emirates","Asia","Western Asia",784
28,1,"AE",32,38,35,30,31,"United Arab Emirates","Asia","Western Asia",784
34,2,"AE",33,25,33,18,19,"United Arab Emirates","Asia","Western Asia",784
25,2,"AE",21,17,26,23,29,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",23,22,27,33,16,"United Arab Emirates","Asia","Western Asia",784
15,2,"AE",29,17,29,11,22,"United Arab Emirates","Asia","Western Asia",784
23,1,"AE",24,8,34,24,19,"United Arab Emirates","Asia","Western Asia",784
33,2,"AE",21,14,27,25,25,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",26,17,28,22,25,"United Arab Emirates","Asia","Western Asia",784
42,1,"AE",21,10,33,27,19,"United Arab Emirates","Asia","Western Asia",784
17,1,"AE",24,14,30,26,26,"United Arab Emirates","Asia","Western Asia",784
17,1,"AE",19,21,33,20,36,"United Arab Emirates","Asia","Western Asia",784
30,2,"AE",24,3,36,32,38,"United Arab Emirates","Asia","Western Asia",784
33,2,"AE",12,14,27,25,25,"United Arab Emirates","Asia","Western Asia",784
13,1,"AE",16,31,25,28,24,"United Arab Emirates","Asia","Western Asia",784
30,2,"AE",16,4,34,25,32,"United Arab Emirates","Asia","Western Asia",784
53,2,"AE",13,28,38,31,27,"United Arab Emirates","Asia","Western Asia",784
16,2,"AE",28,7,39,24,27,"United Arab Emirates","Asia","Western Asia",784
51,1,"AE",12,9,30,18,39,"United Arab Emirates","Asia","Western Asia",784
37,1,"AE",33,17,35,31,27,"United Arab Emirates","Asia","Western Asia",784
13,2,"AE",22,24,29,16,27,"United Arab Emirates","Asia","Western Asia",784
42,2,"AE",23,17,31,33,34,"United Arab Emirates","Asia","Western Asia",784
17,1,"AE",24,2,20,19,15,"United Arab Emirates","Asia","Western Asia",784
30,1,"AE",23,14,33,25,33,"United Arab Emirates","Asia","Western Asia",784
24,2,"AE",15,13,8,14,33,"United Arab Emirates","Asia","Western Asia",784
18,1,"AE",29,19,26,29,35,"United Arab Emirates","Asia","Western Asia",784
19,1,"AE",7,13,30,23,28,"United Arab Emirates","Asia","Western Asia",784
33,2,"AE",20,14,25,18,23,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",19,9,29,18,28,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",34,9,32,17,28,"United Arab Emirates","Asia","Western Asia",784
17,2,"AE",22,11,18,9,28,"United Arab Emirates","Asia","Western Asia",784
26,1,"AE",23,28,23,20,24,"United Arab Emirates","Asia","Western Asia",784
33,1,"AE",7,21,29,15,28,"United Arab Emirates","Asia","Western Asia",784
35,2,"AE",23,26,35,30,16,"United Arab Emirates","Asia","Western Asia",784
42,2,"AE",16,12,35,12,23,"United Arab Emirates","Asia","Western Asia",784
39,1,"AE",14,26,32,29,30,"United Arab Emirates","Asia","Western Asia",784
56,2,"AE",22,22,32,27,36,"United Arab Emirates","Asia","Western Asia",784
43,2,"AE",18,23,33,28,33,"United Arab Emirates","Asia","Western Asia",784
18,2,"AE",6,23,23,30,22,"United Arab Emirates","Asia","Western Asia",784
36,2,"AE",15,18,26,22,19,"United Arab Emirates","Asia","Western Asia",784
36,1,"AE",39,12,37,28,34,"United Arab Emirates","Asia","Western Asia",784
47,1,"AE",20,15,24,25,24,"United Arab Emirates","Asia","Western Asia",784
20,1,"AE",17,8,21,22,28,"United Arab Emirates","Asia","Western Asia",784
24,2,"AE",33,10,35,16,36,"United Arab Emirates","Asia","Western Asia",784
16,2,"AE",30,16,27,12,19,"United Arab Emirates","Asia","Western Asia",784
